agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-3099,51.721924611861134,0.009839662890819832,42.760000000000005,66,0.66,0.009509757599740383,23.06,34,0.34
qfa-0-3100,24.241528098299682,0.010175342826332593,45.40999999999999,70,0.7,0.008880528514708703,9.129999999999999,31,0.31
qfa-0-3101,42.45004918069431,0.009086880260203847,45.93000000000001,71,0.71,0.010420922602406813,20.840000000000003,41,0.41
qfa-0-3103,43.69501462798181,0.01045382234076126,42.94,70,0.7,0.009309710655920176,17.720000000000002,36,0.36
qfa-0-3104,46.05782884928931,0.010027949126954863,50.79,70,0.7,0.00902014079724239,6.840000000000001,37,0.37
qfa-0-3105,35.90338306693221,0.011528322806541324,52.470000000000006,71,0.71,0.010573285569824866,15.59,37,0.37
qfa-0-3106,50.77165321146275,0.009446127151166859,49.07,66,0.66,0.00798878812694978,13.010000000000002,36,0.36
qfa-0-3107,20.366278497053994,0.010603783377533666,44.95,60,0.6,0.009990038449706886,21.49,43,0.43
qfa-0-3108,52.384523569593,0.009826304044045225,41.779999999999994,67,0.67,0.009167073164137476,9.99,33,0.33
qfa-0-3109,56.96992561819725,0.009975546578093481,40.2,65,0.65,0.009392712427294109,-8.099999999999998,24,0.24
qfa-0-3110,37.46699999083035,0.010140725667747697,46.67,64,0.64,0.009112665228631075,8.2,29,0.29
qfa-0-3111,18.226350078115313,0.010039158141298576,48.1,65,0.65,0.00877910003257504,28.51,42,0.42
qfa-0-3112,39.06584754995056,0.01096541522257306,46.010000000000005,61,0.61,0.009861248613472998,15.05,37,0.37
qfa-0-3113,60.93687474814233,0.010150211193404871,47.839999999999996,67,0.67,0.008346488367636525,6.840000000000001,34,0.34
qfa-0-3114,53.537525361080235,0.00906114467238379,36.050000000000004,62,0.62,0.008576843159450648,11.129999999999999,32,0.32
qfa-0-3115,43.74374541954262,0.011541095084646558,46.120000000000005,64,0.64,0.011440685615004862,15.3,40,0.4
qfa-0-3116,25.86539473595174,0.010197234339134048,42.209999999999994,63,0.63,0.009253892075964892,18.669999999999998,38,0.38
qfa-0-3117,34.72997294111913,0.009343587935920888,44.61,65,0.65,0.008904935524279543,13.9,33,0.33
qfa-0-3118,33.16142668126787,0.0108628936348845,41.51,68,0.68,0.009530734708468882,8.25,28,0.28
qfa-0-3119,38.37054193008929,0.010505976719483041,35.85000000000001,63,0.63,0.009499480399251178,8.310000000000002,33,0.33
qfa-0-3121,32.64960746478532,0.008678642518605726,53.02,66,0.66,0.008708089903846333,16.75,30,0.3
qfa-0-3122,35.23353432382719,0.01023465910529809,45.73,65,0.65,0.010211279840411659,11.099999999999998,42,0.42
qfa-0-3123,29.78528031162265,0.01029280373515641,44.269999999999996,63,0.63,0.009828753264008845,20.040000000000003,39,0.39
qfa-0-3124,61.28554599156283,0.01038932756533048,42.78,64,0.64,0.009394997425422328,10.12,30,0.3
qfa-0-3125,53.32874451232446,0.009724255334706031,43.800000000000004,61,0.61,0.009095151729850325,10.5,31,0.31
qfa-0-3126,50.69413232971967,0.01083321227493535,32.85,51,0.51,0.010760030599682125,5.24,32,0.32
qfa-0-3127,56.42241401576122,0.011370558390000321,40.39999999999999,68,0.68,0.010597399573580241,13.6,33,0.33
qfa-0-3128,59.337403673078825,0.009256790330618757,44.59,58,0.58,0.008870470839168332,10.64,33,0.33
qfa-0-3129,42.030698438262476,0.01036766618500785,47.39,60,0.6,0.010196439212568315,16.1,37,0.37
qfa-0-3130,47.96612283389346,0.008149486545249812,37.42,64,0.64,0.008839856001701361,6.93,31,0.31
qfa-0-3131,52.09936992082494,0.010852287393112154,45.739999999999995,68,0.68,0.008975313318270823,2.0999999999999996,26,0.26
qfa-0-3132,28.311912477974044,0.010336649799554759,44.0,54,0.54,0.00925100261975009,8.180000000000001,31,0.31
qfa-0-3133,43.64636597747803,0.011435896664964348,55.459999999999994,68,0.68,0.010444720977261525,15.09,37,0.37
qfa-0-3134,38.42511519553797,0.00939401300741184,43.44,63,0.63,0.009535642370359029,7.489999999999999,30,0.3
qfa-0-3135,14.150816177412315,0.010383806494238505,46.09,68,0.68,0.009250764992514362,7.139999999999999,33,0.33
qfa-0-3136,47.6179837462967,0.008640003992013378,33.58,63,0.63,0.009029149035373997,23.390000000000004,36,0.36
qfa-0-3137,52.90793263450849,0.010001566205693589,39.07000000000001,64,0.64,0.009552642598463154,9.14,37,0.37
qfa-0-3138,39.186178089479554,0.009460063308931458,44.980000000000004,66,0.66,0.008787082044594111,5.85,35,0.35
qfa-0-3140,36.0623304899212,0.011287544530222411,43.160000000000004,59,0.59,0.010978813983211825,19.479999999999997,40,0.4
qfa-0-3141,39.35047381488965,0.01139054547501175,51.529999999999994,75,0.75,0.010176914708378915,8.419999999999998,38,0.38
qfa-0-3142,41.7681798450217,0.011782015208105307,39.09,66,0.66,0.010520428896185725,11.190000000000001,33,0.33
qfa-0-3143,33.35218033584173,0.010050833273121704,39.43,62,0.62,0.009627277967056456,17.15,39,0.39
qfa-0-3144,14.922180476769624,0.011297664088870363,43.57,56,0.56,0.010132246018368351,11.830000000000002,34,0.34
qfa-0-3145,35.23979293839888,0.011209555444222195,42.58,67,0.67,0.010099493386395786,8.87,36,0.36
qfa-0-3146,44.29361417488959,0.010551822646299665,28.590000000000003,55,0.55,0.008871863552141309,-4.799999999999999,29,0.29
qfa-0-3147,45.97358940006329,0.01079524549942943,48.7,76,0.76,0.010000939731697397,6.21,24,0.24
qfa-0-3148,43.7740398750898,0.009200187677883572,46.28,69,0.69,0.008831289255636499,6.499999999999998,29,0.29
qfa-0-3149,39.81945123208014,0.011043582641057564,46.38999999999999,58,0.58,0.01068460329525162,20.66,39,0.39
qfa-0-3150,44.9738716206614,0.009969814011910173,40.05,70,0.7,0.0099393939988468,16.060000000000002,39,0.39
