agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-1111,71.38981527064155,0.02978843907816229,48.67,63,0.63,0.026923456815835595,12.489999999999998,38,0.38
qfa-0-1112,58.78097641056979,0.03057124371120285,43.059999999999995,69,0.69,0.029672136760053248,5.239999999999999,29,0.29
qfa-0-1113,40.93328691972885,0.030915019029033115,42.88,65,0.65,0.03146402187419879,20.310000000000002,38,0.38
qfa-0-1114,44.44657759031772,0.027588573402360483,36.96999999999999,58,0.58,0.027423760495712112,17.18,30,0.3
qfa-0-1115,20.421277381123048,0.026282010920743514,39.61,58,0.58,0.022066876750666434,7.3199999999999985,33,0.33
qfa-0-1116,52.2170061315138,0.029288424011842597,43.6,64,0.64,0.027886369107674315,10.12,36,0.36
qfa-0-1117,74.09932527956491,0.028265268286845786,43.22,63,0.63,0.027640605267291302,16.9,38,0.38
qfa-0-1118,66.00167817628657,0.03139315906752631,39.7,61,0.61,0.028237928308953414,3.7399999999999998,28,0.28
qfa-0-1119,51.4508870596295,0.02686465628801375,43.41,65,0.65,0.022496575970005345,9.68,35,0.35
qfa-0-112,45.617734965370005,0.3053495404016065,48.230000000000004,69,0.69,0.29049418323382453,14.73,35,0.35
qfa-0-1120,36.50792775623167,0.02628027348091739,44.529999999999994,68,0.68,0.030397534958345074,16.160000000000004,37,0.37
qfa-0-1121,45.9154087401229,0.019996243775209876,43.330000000000005,58,0.58,0.017352143186978218,7.0200000000000005,31,0.31
qfa-0-1123,50.64103378799599,0.032686892211377945,44.15,75,0.75,0.03136940780217033,19.05,41,0.41
qfa-0-1124,31.85671910941096,0.022902318843095792,38.779999999999994,53,0.53,0.02460799288125972,-3.0699999999999994,27,0.27
qfa-0-1125,49.349680670052955,0.02685386064805172,44.66,65,0.65,0.02512596219533735,14.410000000000002,38,0.38
qfa-0-1126,34.533950600933075,0.02964601061899031,43.269999999999996,70,0.7,0.029260546004282195,19.759999999999998,40,0.4
qfa-0-1127,60.13957757966315,0.028813356087783383,41.72,62,0.62,0.02783899133993618,10.09,28,0.28
qfa-0-1128,60.72909696255556,0.02994752467108879,46.88,70,0.7,0.02915791393952777,5.24,30,0.3
qfa-0-1129,40.55618873592745,0.030398518870596674,41.14,62,0.62,0.026554968815316975,11.59,37,0.37
qfa-0-113,35.64005580372693,0.27345153811391654,53.65999999999999,65,0.65,0.263891080255631,15.520000000000001,30,0.3
qfa-0-1130,49.64982334762472,0.028257035991943392,45.43999999999999,68,0.68,0.028402148136577765,18.520000000000003,39,0.39
qfa-0-1131,46.56262952672301,0.02730950272366563,42.21,65,0.65,0.026800968331808634,10.47,36,0.36
qfa-0-1132,50.998033101213615,0.02461867349802203,41.269999999999996,67,0.67,0.02473887985722751,3.9799999999999995,35,0.35
qfa-0-1133,30.660190250636386,0.022339309061006663,41.31,64,0.64,0.015726320073271124,19.67,37,0.37
qfa-0-1134,67.06614728844288,0.026891934875729367,42.059999999999995,60,0.6,0.022764967001109766,6.37,33,0.33
qfa-0-1135,58.04037262886928,0.029203553220965506,45.46,65,0.65,0.02781258808798226,14.15,37,0.37
qfa-0-1136,50.16189826469801,0.026306865045408988,43.08999999999999,67,0.67,0.025785765105495805,14.64,36,0.36
qfa-0-1137,21.159675292631107,0.028837926150208665,35.05,57,0.57,0.027869295304064255,6.33,34,0.34
qfa-0-1138,31.567658480708474,0.02881784321892509,37.8,63,0.63,0.028840783200344982,15.059999999999999,40,0.4
qfa-0-1139,12.964729056586346,0.0306511555143416,38.92999999999999,64,0.64,0.02841680866696985,16.05,38,0.38
qfa-0-114,37.62265968597242,0.2752488791914648,42.290000000000006,60,0.6,0.2656234600821674,17.78,37,0.37
qfa-0-1141,44.79884751029468,0.029443218383261704,46.14,61,0.61,0.028773865893023998,10.469999999999999,33,0.33
qfa-0-1142,60.12038693698203,0.02503280696438135,37.87,60,0.6,0.020083223847267635,10.02,40,0.4
qfa-0-1143,49.57934753877709,0.030449175509115866,36.64,60,0.6,0.027025174572835937,11.79,38,0.38
qfa-0-1144,36.19175424368514,0.02644885127533414,41.45,59,0.59,0.026368590580648492,15.780000000000001,36,0.36
qfa-0-1145,40.96324762054494,0.029475892840420414,43.9,69,0.69,0.028060451782393324,6.220000000000001,28,0.28
qfa-0-1146,47.923394700558795,0.02598869835685394,49.21,75,0.75,0.025518227566518885,11.22,34,0.34
qfa-0-1147,61.02719032210393,0.029900631687607444,42.62,67,0.67,0.029611690625559024,7.830000000000001,26,0.26
qfa-0-1148,57.77996003884445,0.0283227271868914,40.19,59,0.59,0.028849137158824617,5.709999999999999,27,0.27
qfa-0-1149,68.42509100118019,0.026289286178500126,43.3,69,0.69,0.023302390508797597,25.189999999999998,34,0.34
qfa-0-115,51.40055419228587,0.27923895508183727,41.6,59,0.59,0.2481430179390288,3.3899999999999997,29,0.29
qfa-0-1150,40.67325744646284,0.027481532554626355,41.35000000000001,64,0.64,0.023410980470611322,10.37,31,0.31
qfa-0-1151,48.436631203729654,0.029529611910984098,47.010000000000005,64,0.64,0.02869250957752665,19.41,41,0.41
qfa-0-1152,31.565628473342755,0.024735917678199815,47.94,72,0.72,0.022362738489465555,23.990000000000002,44,0.44
qfa-0-1153,82.47061317134556,0.02636834558022357,39.14,62,0.62,0.02676319218240709,13.290000000000001,40,0.4
qfa-0-1154,20.801905694424253,0.02690099014477656,45.42,63,0.63,0.025298520547334707,15.3,36,0.36
qfa-0-1155,35.30554070249015,0.03232483843813679,43.59,65,0.65,0.028065476003677665,19.14,31,0.31
qfa-0-1156,14.591833609292948,0.029547298913931284,46.63,61,0.61,0.026992140722323414,10.540000000000001,33,0.33
